hgnc_symbol,ensembl_gene_id,ensembl_transcript_id,transcript_biotype,mirbase_id,log2FoldChange,pvalue,padj
P4HB,ENSG00000185624,ENST00000680719,retained_intron,NA,-8.202932823,2.45313492901404e-18,5.59376092188426e-15
CAMTA2,ENSG00000108509,ENST00000414043,protein_coding,,8.379369553,3.93650911266111e-18,8.70421808886836e-15
PLAU,ENSG00000122861,ENST00000372764,protein_coding,NA,-0.970398828,7.42397766217531e-18,1.59327294721649e-14
DDX3X,ENSG00000215301,ENST00000644073,protein_coding,,-8.757102996,1.18779477256308e-17,2.47631454183952e-14
PDE10A,ENSG00000112541,ENST00000649273,nonsense_mediated_decay,NA,7.665329233,1.74850496702926e-17,3.54402528983864e-14
SKIV2L,ENSG00000204351,ENST00000375394,protein_coding,NA,7.892788083,3.84330630809773e-17,7.57941553214257e-14
PMEPA1,ENSG00000124225,ENST00000395816,protein_coding,,-8.790067298,4.58361675619978e-17,8.80150914385225e-14
ZEB2,ENSG00000169554,ENST00000440875,protein_coding,NA,-7.392311528,1.24773159979605e-16,2.33447383010046e-13
IQGAP1,ENSG00000140575,ENST00000560738,protein_coding,NA,-7.409384955,1.62390293285241e-16,2.96232373010938e-13
SLC66A1,ENSG00000040487,ENST00000375155,protein_coding,NA,7.510427632,2.67767602171309e-16,4.76547960859417e-13
NAT10,ENSG00000135372,ENST00000531159,protein_coding,NA,7.33091046,4.36635246767007e-16,7.58580968716546e-13
ZFAT,ENSG00000066827,ENST00000520214,protein_coding,,7.582448256,6.2512195527277e-16,1.06078834493822e-12
KLC2,ENSG00000174996,ENST00000421552,protein_coding,NA,-8.41079542,1.05076193680088e-15,1.74254538646561e-12
NAPEPLD,ENSG00000161048,ENST00000465647,protein_coding,NA,-7.440170648,1.11218560081843e-15,1.80342130934487e-12
RPS3A,ENSG00000145425,ENST00000508783,protein_coding,NA,7.834988974,1.8358553395525e-15,2.85564271418202e-12
STOML2,ENSG00000165283,ENST00000619795,protein_coding,,7.721090935,1.83937078673603e-15,2.85564271418202e-12
ARMCX6,ENSG00000198960,ENST00000497931,processed_transcript,NA,-7.415031011,2.24492135773867e-15,3.41265461732241e-12
RAB40C,ENSG00000197562,ENST00000539661,protein_coding,,-7.886704793,3.54894295111747e-15,5.28488304606408e-12
PPP2R3C,ENSG00000092020,ENST00000554222,nonsense_mediated_decay,NA,7.420654601,5.01137707974587e-15,7.31340325509793e-12
SOAT1,ENSG00000057252,ENST00000426956,protein_coding,NA,-1.035791183,7.75880767649108e-15,1.11008760497686e-11
SENP1,ENSG00000079387,ENST00000549518,protein_coding,NA,7.139544736,8.79542770236032e-15,1.23194635151992e-11
SEC16A,ENSG00000148396,ENST00000277537,protein_coding,,7.212692147,8.94819052606018e-15,1.23194635151992e-11
REV1,ENSG00000135945,ENST00000465835,processed_transcript,NA,7.285394973,1.25529703287752e-14,1.69623173879643e-11
DEGS1,ENSG00000143753,ENST00000415210,protein_coding,NA,-7.247921058,1.59352163558189e-14,2.08367488498626e-11
DDX1,ENSG00000079785,ENST00000678786,protein_coding,NA,7.473021184,1.59913651955968e-14,2.08367488498626e-11
PDIA3,ENSG00000167004,ENST00000689152,nonsense_mediated_decay,NA,9.001861685,2.08322802544714e-14,2.6668242554531e-11
IAH1,ENSG00000134330,ENST00000482918,protein_coding,NA,7.20944599,4.33479354810872e-14,5.45346923479994e-11
WSB2,ENSG00000176871,ENST00000537945,protein_coding,,-7.183215125,1.0180128701137e-13,1.25016121686587e-10
CEMIP,ENSG00000103888,ENST00000220244,protein_coding,NA,1.195084205,1.02798038882732e-13,1.25016121686587e-10
CHRNB1,ENSG00000170175,ENST00000306071,protein_coding,,-1.378799567,1.25045104736712e-13,1.49578544302105e-10
PPARD,ENSG00000112033,ENST00000360694,protein_coding,,-0.553708876,1.48567384841376e-13,1.74849434469444e-10
SRSF5,ENSG00000100650,ENST00000553369,protein_coding,NA,-7.342808182,1.64522580754427e-13,1.90553709087127e-10
ZNF462,ENSG00000148143,ENST00000441147,protein_coding,NA,-7.044387683,1.71162194040425e-13,1.92316731866997e-10
IFITM3,ENSG00000142089,ENST00000680209,protein_coding,NA,-7.13270724,1.71316023069768e-13,1.92316731866997e-10
MAPK8IP3,ENSG00000138834,ENST00000610761,protein_coding,,7.783533617,1.76649452450768e-13,1.95299352218601e-10
GDI2,ENSG00000057608,ENST00000447751,protein_coding,NA,6.841295743,1.82058508922242e-13,1.98275302672211e-10
DMAC2L,ENSG00000125375,ENST00000672910,protein_coding,NA,1.686961954,2.23350498380223e-13,2.37416981049614e-10
JADE3,ENSG00000102221,ENST00000611250,protein_coding,,-7.462153685,2.24506245099542e-13,2.37416981049614e-10
ACY1,ENSG00000243989,ENST00000636358,protein_coding,,-7.386573549,2.33206354841621e-13,2.43094304286906e-10
THBS2,ENSG00000186340,ENST00000676628,protein_coding,NA,-7.679471637,2.59547766694036e-13,2.66741992114513e-10
CTXN1,ENSG00000178531,ENST00000318978,protein_coding,,1.421626096,2.83560116012221e-13,2.87372424238608e-10
CIAPIN1,ENSG00000005194,ENST00000394391,protein_coding,,-7.868298932,3.43869751363603e-13,3.43719013938348e-10
DDX39A,ENSG00000123136,ENST00000590239,protein_coding,,-6.76375978,3.91068648424191e-13,3.85614826192113e-10
SLC19A2,ENSG00000117479,ENST00000646596,protein_coding,NA,-6.658205851,4.48836264592371e-13,4.36675794063682e-10
SEC16A,ENSG00000148396,ENST00000313050,protein_coding,,8.252652175,4.69297914997635e-13,4.50575398178256e-10
DENND5A,ENSG00000184014,ENST00000681158,nonsense_mediated_decay,NA,-7.594938129,6.29247901898208e-13,5.96298193580629e-10
POLK,ENSG00000122008,ENST00000506928,processed_transcript,NA,7.018656222,6.5837378903255e-13,6.15900238950348e-10
RNF43,ENSG00000108375,ENST00000407977,protein_coding,,6.614703653,7.91610659961944e-13,7.31167678938014e-10
SMG6,ENSG00000070366,ENST00000570756,processed_transcript,,-6.709652347,8.3834267976137e-13,7.64652358210346e-10
ACADM,ENSG00000117054,ENST00000680805,protein_coding,NA,7.781348445,1.10807620588123e-12,9.98198822107923e-10
PM20D2,ENSG00000146281,ENST00000275072,protein_coding,,-1.375125776,1.57607579018567e-12,1.40247680802766e-09
SPG7,ENSG00000197912,ENST00000645742,processed_transcript,,7.080365167,1.68754818860291e-12,1.48357850874671e-09
ADAM17,ENSG00000151694,ENST00000650116,nonsense_mediated_decay,NA,6.727913571,1.81092381739356e-12,1.57308915604254e-09
RCE1,ENSG00000173653,ENST00000525356,protein_coding,NA,7.333891219,2.4129203481143e-12,2.07136437601417e-09
DENND5A,ENSG00000184014,ENST00000680252,nonsense_mediated_decay,NA,6.91487558,2.99329336369909e-12,2.53970500188832e-09
RAB37,ENSG00000172794,ENST00000392614,protein_coding,,-6.910885617,4.77755475248386e-12,4.0069955767729e-09
FOXN2,ENSG00000170802,ENST00000340553,protein_coding,,-1.004457754,6.70395096950284e-12,5.55879425389413e-09
SPAST,ENSG00000021574,ENST00000642999,protein_coding,,6.398024887,7.54287572058471e-12,6.18414107392837e-09
TPM4,ENSG00000167460,ENST00000668959,processed_transcript,NA,-11.03934712,9.10353533399104e-12,7.38074184722954e-09
ALG1,ENSG00000033011,ENST00000684335,protein_coding,NA,7.018655025,1.09054041413227e-11,8.69633625498167e-09
FIG4,ENSG00000112367,ENST00000675726,protein_coding,NA,6.459425073,1.09645726271559e-11,8.69633625498167e-09
DUS2,ENSG00000167264,ENST00000565263,protein_coding,NA,7.073239749,1.53331872311428e-11,1.20304516761509e-08
CISD2,ENSG00000145354,ENST00000643561,nonsense_mediated_decay,,0.875384072,1.58093472225967e-11,1.22720898738132e-08
ZMYM6,ENSG00000163867,ENST00000460607,processed_transcript,,-6.321922513,1.72260045917081e-11,1.32310221373448e-08
ZNF544,ENSG00000198131,ENST00000651034,processed_transcript,NA,-6.68181742,1.90683923514273e-11,1.44935672197807e-08
AMMECR1L,ENSG00000144233,ENST00000679574,nonsense_mediated_decay,NA,-7.06248807,2.13791948868935e-11,1.60824442526479e-08
ADNP,ENSG00000101126,ENST00000645081,protein_coding,,7.011218064,2.48433774113904e-11,1.84976690097381e-08
NLRP1,ENSG00000091592,ENST00000544378,nonsense_mediated_decay,,6.564777302,2.75546856939687e-11,2.03091950072476e-08
HIP1R,ENSG00000130787,ENST00000452196,retained_intron,NA,-6.48112043,4.2593325618525e-11,3.10794978373253e-08
LCORL,ENSG00000178177,ENST00000326877,protein_coding,,-6.672418477,4.7565898562197e-11,3.43642424384791e-08
FLII,ENSG00000177731,ENST00000474265,retained_intron,NA,6.481119461,4.92797949174812e-11,3.52534125052821e-08
C11orf58,ENSG00000110696,ENST00000528634,protein_coding,NA,6.74594598,5.54560566041443e-11,3.91588812319504e-08
PRPS1,ENSG00000147224,ENST00000674826,nonsense_mediated_decay,NA,6.849656862,5.58329663603059e-11,3.91588812319504e-08
BACE1,ENSG00000186318,ENST00000680681,protein_coding,NA,6.781351152,5.6349119194096e-11,3.91588812319504e-08
SARAF,ENSG00000133872,ENST00000518174,nonsense_mediated_decay,,0.969253178,6.1334652724496e-11,4.19531286567057e-08
NT5E,ENSG00000135318,ENST00000257770,protein_coding,NA,-0.753281804,6.15199096352854e-11,4.19531286567057e-08
LRRC20,ENSG00000172731,ENST00000395011,protein_coding,,-2.529006189,6.84626640211734e-11,4.62554043360832e-08
FTH1,ENSG00000167996,ENST00000532601,protein_coding,NA,0.364652753,7.70741361660288e-11,5.15011001283736e-08
CHEK2,ENSG00000183765,ENST00000405598,protein_coding,,-6.594939808,7.8255792493447e-11,5.15011001283736e-08
ADAM19,ENSG00000135074,ENST00000257527,protein_coding,NA,-0.727082477,7.83442346542248e-11,5.15011001283736e-08
IFITM1,ENSG00000185885,ENST00000680342,protein_coding,NA,6.709649729,9.80122472250634e-11,6.37199953984241e-08
GAREM1,ENSG00000141441,ENST00000269209,protein_coding,NA,3.525459606,9.86783176189826e-11,6.37199953984241e-08
ZNF74,ENSG00000185252,ENST00000611540,protein_coding,,6.375032272,1.12480250806625e-10,7.19952538671737e-08
EMSY,ENSG00000158636,ENST00000533248,protein_coding,NA,-6.453950021,1.13754884352692e-10,7.21779687082365e-08
MAP3K4,ENSG00000085511,ENST00000366920,protein_coding,NA,-6.910884569,1.19757127751849e-10,7.53313629120425e-08
LCORL,ENSG00000178177,ENST00000675131,nonsense_mediated_decay,NA,6.13613041,1.2583982274621e-10,7.84810272320123e-08
ARPP19,ENSG00000128989,ENST00000567669,protein_coding,NA,6.196390654,1.43261132013076e-10,8.85887989892382e-08
ZWILCH,ENSG00000174442,ENST00000565627,protein_coding,NA,6.129276706,1.4555999109828e-10,8.92539616004985e-08
ZMYM6,ENSG00000163867,ENST00000317538,protein_coding,,6.149740724,1.48359406798201e-10,9.02124099604259e-08
NSD2,ENSG00000109685,ENST00000511904,nonsense_mediated_decay,NA,-6.22238654,1.549828002659e-10,9.34610328082824e-08
TRIQK,ENSG00000205133,ENST00000517858,protein_coding,,6.315897204,1.70195198687891e-10,1.01793469326705e-07
NEO1,ENSG00000067141,ENST00000261908,protein_coding,NA,-6.667695524,2.52043671171272e-10,1.49521321935165e-07
TCTN2,ENSG00000168778,ENST00000303372,protein_coding,,1.594416255,2.60525269084097e-10,1.53306514794584e-07
LIG1,ENSG00000105486,ENST00000594067,retained_intron,,6.820169389,2.64851988693941e-10,1.54605759288156e-07
THUMPD3-AS1,ENSG00000206573,ENST00000522525,lncRNA,,-6.101532322,2.78644724812712e-10,1.60434794725616e-07
SOAT1,ENSG00000057252,ENST00000540564,protein_coding,,-0.869254255,2.7923499246455e-10,1.60434794725616e-07
OPTN,ENSG00000123240,ENST00000469025,processed_transcript,NA,-6.129277174,3.43709287782678e-10,1.95935775866613e-07
USP40,ENSG00000085982,ENST00000483519,retained_intron,NA,6.303773364,3.49789763023237e-10,1.97856274637826e-07
STIM1,ENSG00000167323,ENST00000528656,protein_coding,NA,-5.999994463,4.21278457258118e-10,2.36460357455464e-07
DYSF,ENSG00000135636,ENST00000410020,protein_coding,,-0.719082943,4.54727604060896e-10,2.53286746665004e-07
NPIPB4,ENSG00000185864,ENST00000540103,processed_transcript,,-6.014944724,4.83391962170705e-10,2.67213217391454e-07
CYLD,ENSG00000083799,ENST00000568704,protein_coding,NA,6.285394744,4.96761447735028e-10,2.72539017431049e-07
DDX58,ENSG00000107201,ENST00000379868,protein_coding,,-6.781351604,5.67856231290693e-10,3.09218906603129e-07
KANSL3,ENSG00000114982,ENST00000447759,nonsense_mediated_decay,NA,-6.254234861,6.83420975710812e-10,3.66710094373695e-07
FAM214A,ENSG00000047346,ENST00000619572,protein_coding,,6.533969822,6.83485539343583e-10,3.66710094373695e-07
ANLN,ENSG00000011426,ENST00000424865,protein_coding,NA,-6.27921713,7.05027745005983e-10,3.74282514231255e-07
ZNF598,ENSG00000167962,ENST00000562103,protein_coding,NA,-9.804644036,7.07858060573308e-10,3.74282514231255e-07
CHPF,ENSG00000123989,ENST00000688634,nonsense_mediated_decay,NA,-6.380814821,1.00766934253642e-09,5.28975658893506e-07
SIRT5,ENSG00000124523,ENST00000606117,protein_coding,,6.824418005,1.05659849787017e-09,5.50699137089931e-07
GPBP1L1,ENSG00000159592,ENST00000290795,protein_coding,,-6.559688131,1.13162600272899e-09,5.85620469270419e-07
TSN,ENSG00000211460,ENST00000498545,processed_transcript,NA,6.129275767,1.20593919438354e-09,6.19008057136086e-07
BZW2,ENSG00000136261,ENST00000438834,protein_coding,NA,6.736955509,1.21310920088889e-09,6.19008057136086e-07
TFCP2,ENSG00000135457,ENST00000548108,protein_coding,NA,6.094510484,1.23341977616724e-09,6.250012099123e-07
GABPB1,ENSG00000104064,ENST00000543881,protein_coding,,-6.136130414,1.29208673948129e-09,6.47405124165434e-07
PXN,ENSG00000089159,ENST00000536957,protein_coding,,-0.832897507,1.29537808529977e-09,6.47405124165434e-07
RNF43,ENSG00000108375,ENST00000577716,protein_coding,,-6.554581164,1.43265787246571e-09,7.11144079170598e-07
FDPS,ENSG00000160752,ENST00000461507,retained_intron,,-6.066083093,1.44253651394095e-09,7.11209488846241e-07
PIF1,ENSG00000140451,ENST00000268043,protein_coding,NA,-6.619600698,1.53452217421777e-09,7.51483315492094e-07
DONSON,ENSG00000159147,ENST00000437395,protein_coding,NA,-6.5183177,1.60836139674616e-09,7.82392762651828e-07
COMMD6,ENSG00000188243,ENST00000483290,retained_intron,NA,1.529467042,1.65599175160853e-09,8.00227855174645e-07
MPDZ,ENSG00000107186,ENST00000545857,protein_coding,NA,6.094510253,1.9593339613008e-09,9.40583424264452e-07
MFN2,ENSG00000116688,ENST00000676426,nonsense_mediated_decay,NA,-7.64384378,2.01663885557643e-09,9.61765385710463e-07
DYNC1H1,ENSG00000197102,ENST00000644881,protein_coding,,9.680617816,2.26360394672178e-09,1.07082945490344e-06
CDC42EP2,ENSG00000149798,ENST00000279249,protein_coding,,-0.734458799,2.27467609787899e-09,1.07082945490344e-06
RALGAPA1,ENSG00000174373,ENST00000554573,protein_coding,NA,5.906883873,2.70869834572093e-09,1.26697628776003e-06
,ENSG00000255508,ENST00000526409,retained_intron,NA,1.597130728,2.97503423584437e-09,1.38268979694963e-06
PPIL2,ENSG00000100023,ENST00000626352,protein_coding,,-5.898847429,3.12931217246278e-09,1.44518766202699e-06
WDR90,ENSG00000161996,ENST00000549091,protein_coding,NA,1.16430025,3.26770318094734e-09,1.4996085893545e-06
SRSF5,ENSG00000100650,ENST00000555349,protein_coding,NA,1.611289414,3.29496492266309e-09,1.5026687529805e-06
C6orf62,ENSG00000112308,ENST00000378119,protein_coding,,-0.686497086,3.37486603091422e-09,1.5295479785326e-06
CTSB,ENSG00000164733,ENST00000526645,protein_coding,NA,9.372832948,3.41508494711384e-09,1.53057419259412e-06
AARSD1,ENSG00000266967,ENST00000430739,protein_coding,NA,6.502490767,3.41908224691429e-09,1.53057419259412e-06
TRIB1,ENSG00000173334,ENST00000520847,protein_coding,,5.772583194,3.52924377189042e-09,1.57025524114207e-06
ACTN1,ENSG00000072110,ENST00000682559,nonsense_mediated_decay,NA,6.442934171,3.69611039298119e-09,1.63317099344251e-06
RPL10,ENSG00000147403,ENST00000436473,protein_coding,NA,9.347958386,3.715414769645e-09,1.63317099344251e-06
NUDT15,ENSG00000136159,ENST00000258662,protein_coding,NA,-0.859652315,4.27400351816618e-09,1.8674580162488e-06
ACTG1,ENSG00000184009,ENST00000681842,nonsense_mediated_decay,NA,-0.48882575,4.34673171451502e-09,1.88793047467102e-06
CDS2,ENSG00000101290,ENST00000460006,protein_coding,,-0.974054108,4.4368971491197e-09,1.91568941524832e-06
TSEN2,ENSG00000154743,ENST00000681471,nonsense_mediated_decay,NA,-6.115470553,4.68379349598596e-09,2.01039437538296e-06
HIPK1,ENSG00000163349,ENST00000361587,protein_coding,,-2.233118935,4.74157375866824e-09,2.0154809604717e-06
ABCE1,ENSG00000164163,ENST00000504292,nonsense_mediated_decay,NA,5.790070411,4.75088703542831e-09,2.0154809604717e-06
LZTFL1,ENSG00000163818,ENST00000296135,protein_coding,,0.986502067,4.99619639477925e-09,2.10729744817487e-06
ST3GAL2,ENSG00000157350,ENST00000561708,processed_transcript,NA,5.736959251,5.12734215375431e-09,2.15018334640887e-06
HELZ,ENSG00000198265,ENST00000579953,nonsense_mediated_decay,,-6.459423708,5.37213445777773e-09,2.239965183515e-06
PPARG,ENSG00000132170,ENST00000397000,protein_coding,,6.589952857,5.43182476394463e-09,2.25198516690632e-06
UBAP2L,ENSG00000143569,ENST00000428931,protein_coding,NA,-9.293064807,5.5104994687551e-09,2.27169562280295e-06
YKT6,ENSG00000106636,ENST00000677436,nonsense_mediated_decay,NA,-6.26052033,5.55494014081128e-09,2.27187160630055e-06
HDLBP,ENSG00000115677,ENST00000310931,protein_coding,,-9.254218126,5.57319670989747e-09,2.27187160630055e-06
ZNF608,ENSG00000168916,ENST00000306315,protein_coding,,2.957770094,6.30804198822837e-09,2.55714004331693e-06
DTNB,ENSG00000138101,ENST00000407661,protein_coding,,5.824421629,6.38954512747407e-09,2.57586922022944e-06
PLPP3,ENSG00000162407,ENST00000371250,protein_coding,NA,0.621834468,6.5254700640036e-09,2.61621153642975e-06
CREM,ENSG00000095794,ENST00000469517,processed_transcript,NA,-5.866242598,6.86358667763043e-09,2.73673329340621e-06
NAPA,ENSG00000105402,ENST00000594001,nonsense_mediated_decay,,1.590675783,6.92404940341565e-09,2.74583715689366e-06
SLC7A6,ENSG00000103064,ENST00000566454,protein_coding,NA,9.218329524,7.1653452426087e-09,2.82616709006849e-06
MARK1,ENSG00000116141,ENST00000678435,protein_coding,NA,6.066081226,7.67131853217915e-09,3.00946650890349e-06
NT5E,ENSG00000135318,ENST00000369651,protein_coding,NA,-0.641044475,8.44604341882390e-09,3.29567324162964e-06
VDAC2,ENSG00000165637,ENST00000543351,protein_coding,,9.10849337,8.76392925798365e-09,3.4015233515774e-06
RELL2,ENSG00000164620,ENST00000297164,protein_coding,,-5.914877118,9.15934639724347e-09,3.52582084102271e-06
PMS1,ENSG00000064933,ENST00000424307,protein_coding,NA,-6.285394697,9.18081843814159e-09,3.52582084102271e-06
LARP1B,ENSG00000138709,ENST00000648358,protein_coding,NA,5.736958941,9.64573060218492e-09,3.68497209727869e-06
CUL5,ENSG00000166266,ENST00000532064,nonsense_mediated_decay,NA,5.906883178,1.03414247770815e-08,3.93017230799001e-06
MYO5A,ENSG00000197535,ENST00000687574,protein_coding,NA,-9.057969028,1.05277693541502e-08,3.98026048825715e-06
CARHSP1,ENSG00000153048,ENST00000568117,protein_coding,NA,6.169916341,1.06972403387231e-08,4.02348573729869e-06
BBX,ENSG00000114439,ENST00000325805,protein_coding,,9.219942394,1.08448992289607e-08,4.05810567660927e-06
CHD1L,ENSG00000131778,ENST00000650714,protein_coding,NA,6.624479789,1.09575373646292e-08,4.07933462460338e-06
ASNS,ENSG00000070669,ENST00000437657,protein_coding,NA,6.658200071,1.30661272258363e-08,4.83964046403464e-06
ERCC2,ENSG00000104884,ENST00000684218,nonsense_mediated_decay,NA,9.012128059,1.32183496326225e-08,4.87129563632929e-06
BTBD3,ENSG00000132640,ENST00000405977,protein_coding,,5.93072959,1.52262093356547e-08,5.58304544122641e-06
SAFB,ENSG00000160633,ENST00000588852,protein_coding,,8.9896001,1.53534827015845e-08,5.6015646288461e-06
BIRC2,ENSG00000110330,ENST00000227758,protein_coding,NA,-0.454600726,1.61068851017124e-08,5.84719996070521e-06
IVD,ENSG00000128928,ENST00000479013,protein_coding,NA,-8.935633814,1.62295535280421e-08,5.86256466254544e-06
DNMT1,ENSG00000130816,ENST00000678647,retained_intron,NA,-0.707042516,1.64768386634944e-08,5.92257124925053e-06
PPM1M,ENSG00000164088,ENST00000409502,protein_coding,,5.898845598,1.73318508769934e-08,6.19936517055124e-06
KRBA1,ENSG00000133619,ENST00000485033,protein_coding,NA,-6.014943475,1.80434641464667e-08,6.42241703336284e-06
SBF1,ENSG00000100241,ENST00000684986,protein_coding,NA,8.950281812,2.03856803703796e-08,7.22088507410612e-06
CEP131,ENSG00000141577,ENST00000573053,protein_coding,,5.790069569,2.33355362751525e-08,8.22583290302091e-06
GEMIN4,ENSG00000179409,ENST00000573482,protein_coding,,-5.914876741,2.40074684078334e-08,8.42200459030185e-06
FRS2,ENSG00000166225,ENST00000549921,protein_coding,NA,-8.870342254,2.49561464101686e-08,8.7129190969243e-06
NSA2,ENSG00000164346,ENST00000513356,processed_transcript,NA,-6.398022587,2.77673358462452e-08,9.64822362870865e-06
CCDC34,ENSG00000109881,ENST00000328697,protein_coding,,0.698845787,2.80164015950578e-08,9.6886293440198e-06
BANF1,ENSG00000175334,ENST00000527348,protein_coding,NA,0.649953059,2.86988523545489e-08,9.85017795463901e-06
DNAJB6,ENSG00000105993,ENST00000262177,protein_coding,NA,-0.78753417,2.8753534485502e-08,9.85017795463901e-06
PPP2R2A,ENSG00000221914,ENST00000380737,protein_coding,,-1.325208698,2.92241401496291e-08,9.94484545395184e-06
DIS3L,ENSG00000166938,ENST00000319194,protein_coding,,-8.75709033,2.93024582364824e-08,9.94484545395184e-06
EMP1,ENSG00000134531,ENST00000256951,protein_coding,NA,-0.637369668,3.10198558785213e-08,1.03992146859473e-05
WWP2,ENSG00000198373,ENST00000359154,protein_coding,,1.921790347,3.10226070325192e-08,1.03992146859473e-05
ARHGDIB,ENSG00000111348,ENST00000228945,protein_coding,NA,-0.642506606,3.10688082657673e-08,1.03992146859473e-05
NUMA1,ENSG00000137497,ENST00000546131,protein_coding,NA,5.807347279,3.28327371311895e-08,1.0891757038361e-05
NONO,ENSG00000147140,ENST00000276079,protein_coding,,0.851446128,3.2838868386682e-08,1.0891757038361e-05
SMC1A,ENSG00000072501,ENST00000674590,protein_coding,NA,0.628945111,3.45995416979928e-08,1.14237980028015e-05
RPA1,ENSG00000132383,ENST00000573994,retained_intron,,0.734221765,3.60479917062125e-08,1.18484227874726e-05
,ENSG00000273763,ENST00000650256,processed_transcript,NA,6.202930327,3.93822741976925e-08,1.28863039625885e-05
MOK,ENSG00000080823,ENST00000518686,retained_intron,,0.849769411,4.28540520621848e-08,1.39597074592567e-05
ERCC6L2,ENSG00000182150,ENST00000661047,nonsense_mediated_decay,NA,-5.898846434,4.32290095142795e-08,1.40192638499464e-05
TTC23,ENSG00000103852,ENST00000494567,retained_intron,NA,-5.754881147,4.34500709797321e-08,1.40286052179163e-05
AKT3,ENSG00000117020,ENST00000366539,protein_coding,,8.637803019,4.63660276101897e-08,1.4904124681323e-05
MAGT1,ENSG00000102158,ENST00000688650,protein_coding,NA,-5.63420001,4.89105763230105e-08,1.56531005839361e-05
RAB14,ENSG00000119396,ENST00000373840,protein_coding,NA,-0.672063309,5.25018525591346e-08,1.67290619106329e-05
ADGRG1,ENSG00000205336,ENST00000567835,protein_coding,NA,-1.870741812,5.27342882363584e-08,1.67300675827417e-05
